Wall time,Step,Value
1614798147.800394,9,-11.305647850036621
1614798208.160454,22,-9.784175872802734
1614798218.025154,25,-11.164620399475098
1614798365.481212,57,-11.704488754272461
1614798369.44395,58,-11.10000991821289
1614798378.914611,60,-9.705281257629395
1614798504.765639,83,-11.2298583984375
1614798509.154176,84,-9.077069282531738
1614798538.827864,91,-9.81713581085205
1614798541.990084,92,-7.845248222351074
1614798616.151543,108,-13.860233306884766
1614798847.909806,143,-6.940735816955566
1614798967.285968,171,-13.299995422363281
1614798978.57358,175,-10.100000381469727
1614798986.290996,176,-7.834228992462158
1614799037.708103,189,-12.20167064666748
1614799136.021266,216,-8.27673625946045
1614799170.561821,221,-10.488940238952637
1614799202.573547,230,-11.100000381469727
1614799323.903151,238,-10.0
1614799349.618502,248,-9.815963745117188
1614799450.525708,265,-15.499977111816406
1614799496.414156,276,-13.425347328186035
1614799584.620757,298,-10.100000381469727
1614799590.976674,301,-10.0
1614799595.186615,303,-10.0
1614799690.261776,329,-10.0
1614799709.946318,332,-12.200003623962402
1614799770.456794,342,-12.124229431152344
1614799788.711885,349,-10.0
1614799944.541841,361,-10.0
1614799979.270503,367,-16.767465591430664
1614799997.698404,372,-12.23090934753418
1614800013.652298,376,-12.275634765625
1614800128.966755,403,-14.029104232788086
1614800156.349113,412,-10.0
1614800218.921575,426,-11.703904151916504
1614800262.242273,435,-12.261292457580566
1614800330.697246,447,-9.894440650939941
1614800370.718326,456,-10.0
1614800645.218452,507,-13.299919128417969
1614800663.431527,514,-10.835173606872559
1614800673.016376,515,-16.21050262451172
1614800686.931515,518,-12.316001892089844
1614800710.220768,524,-10.0
1614800715.916944,525,-13.411295890808105
1614800772.181845,540,-10.0
1614800832.578165,551,-11.309792518615723
1614800838.272879,552,-12.65640926361084
1614800839.547217,553,-10.0
1614800844.711201,554,-11.190897941589355
1614800890.088416,564,-10.0
1614800925.503942,574,-12.67258071899414
1614800964.39548,581,-18.78180503845215
1614800998.630743,589,-10.126142501831055
1614801011.51929,593,-9.694244384765625
1614801044.981589,603,-10.053915023803711
1614801187.968796,615,-12.32341480255127
1614801226.553298,629,-9.003149032592773
1614801261.899517,638,-12.229509353637695
