Wall time,Step,Value
1614034944.314587,9,-13.299999237060547
1614034993.796059,22,-10.971405982971191
1614035002.877261,25,-10.687233924865723
1614035131.69146,57,-12.165064811706543
1614035140.141461,58,-13.573932647705078
1614035149.817245,60,-8.104104042053223
1614035225.149877,83,-11.100015640258789
1614035227.066664,84,-9.767312049865723
1614035266.409555,91,-9.743020057678223
1614035273.251877,92,-14.554691314697266
1614035328.229834,108,-8.34577465057373
1614035474.947737,143,-10.947527885437012
1614035694.373615,171,-9.72153377532959
1614035721.726229,175,-9.144314765930176
1614035726.790222,176,-11.09949016571045
1614035780.445865,189,-9.058550834655762
1614035888.616522,216,-12.199991226196289
1614035903.775494,221,-10.199999809265137
1614035944.806016,230,-11.100001335144043
1614035974.933182,238,-10.0
1614036018.38035,248,-12.80494499206543
1614036091.179469,265,-10.33082389831543
1614036151.030809,276,-9.036825180053711
1614036339.20567,298,-8.812694549560547
1614036354.140321,301,-10.0
1614036358.50219,303,-11.116157531738281
1614036474.573142,329,-10.110488891601562
1614036488.361253,332,-9.960273742675781
1614036524.116746,342,-12.9436616897583
1614036550.457829,349,-9.736729621887207
1614036603.138375,361,-10.949647903442383
1614036626.195653,367,-9.990710258483887
1614036655.537466,372,-10.0
1614036691.935066,376,-10.0
1614036806.614693,403,-9.215530395507812
1614036835.398169,412,-10.111689567565918
1614036996.017622,426,-9.291820526123047
1614037046.137535,435,-10.261954307556152
1614037092.555327,447,-10.0
1614037136.869772,456,-10.0
1614037357.008165,507,-10.0
1614037389.006907,514,-10.100000381469727
1614037391.093753,515,-10.244765281677246
1614037401.194202,518,-11.203744888305664
1614037433.722523,524,-10.765957832336426
1614037448.859595,525,-15.640296936035156
1614037524.622656,540,-13.333243370056152
1614037657.729634,551,-9.932985305786133
1614037660.565097,552,-11.057964324951172
1614037666.468863,553,-10.290752410888672
1614037670.877732,554,-10.092401504516602
1614037709.870981,564,-7.489315032958984
1614037766.593734,574,-8.126547813415527
1614037797.777234,581,-9.936930656433105
1614037833.652526,589,-11.785909652709961
1614037847.924016,593,-10.0
1614037880.859056,603,-9.944853782653809
1614037925.710052,615,-9.176631927490234
1614037971.858711,629,-10.158914566040039
1614038024.391122,638,-10.0
1614038080.619364,650,-10.0
1614038123.2784,661,-10.0
1614038130.115008,664,-8.837703704833984
1614038141.990972,669,-10.0
1614038227.889891,690,-8.346261978149414
1614038232.303834,692,-10.0
1614038329.134372,697,-10.0
1614038338.081128,701,-9.813782691955566
1614038363.888269,708,-10.0
1614038557.876415,743,-9.321778297424316
1614038572.81197,746,-10.882805824279785
1614038594.248326,752,-10.100000381469727
1614038626.647666,759,-8.179666519165039
1614038633.180591,761,-9.879317283630371
1614038645.543683,763,-10.725968360900879
1614038806.158494,794,-9.991680145263672
1614038828.362888,799,-9.763025283813477
1614038831.807217,800,-9.014009475708008
1614038881.040064,815,-10.929376602172852
1614038885.852979,816,-10.0
1614038898.502243,820,-9.92552661895752
1614038910.518722,822,-11.05803108215332
1614038929.113925,827,-8.574905395507812
1614039089.458875,842,-9.339034080505371
1614039116.152789,850,-11.017683982849121
1614039119.298761,851,-10.19080638885498
1614039135.414055,856,-10.143893241882324
1614039184.607604,867,-9.72192096710205
1614039225.089701,877,-8.46895694732666
1614039259.842266,884,-10.0
1614039279.562803,887,-10.0
1614039284.87937,889,-10.135954856872559
1614039340.948267,902,-10.0
1614039362.135281,905,-8.9472017288208
1614039430.176713,914,-10.09124755859375
1614039510.352867,931,-12.790675163269043
1614039544.987067,941,-9.064208030700684
1614039787.356149,975,-10.0
1614039801.473141,978,-6.7927093505859375
1614039863.933167,996,-9.248385429382324
1614039904.948221,1007,-7.247857093811035
1614039911.085126,1009,-11.097760200500488
1614040037.882554,1042,-10.310432434082031
1614040044.34342,1044,-8.729915618896484
1614040120.216105,1056,-10.0
1614040124.821784,1059,-10.0
1614040139.512207,1066,-10.0
1614040157.344535,1072,-10.0
1614040238.389217,1091,-9.065044403076172
1614040581.839284,1132,-10.94094181060791
1614040594.956158,1134,-10.303365707397461
1614040697.712678,1155,-10.0
1614040703.666871,1157,-8.653729438781738
1614040738.532472,1165,-10.202266693115234
1614040771.99511,1170,-10.821667671203613
1614040804.663291,1176,-10.0
1614040886.809452,1195,-9.066411972045898
1614040913.099707,1202,-9.714755058288574
1614040953.521028,1211,-10.0
1614040980.29457,1216,-9.177610397338867
1614041001.622313,1222,-10.926921844482422
1614041040.472396,1234,-9.840799331665039
1614041163.457234,1244,-8.19007682800293
1614041187.509163,1248,-7.744840621948242
1614041205.954314,1251,-8.145591735839844
1614041233.973743,1256,-8.266304969787598
1614041264.200081,1263,-10.100000381469727
1614041403.738818,1280,-8.374259948730469
1614041455.382393,1288,-7.354678630828857
1614041546.156954,1303,-10.0
1614041585.51824,1308,-9.783848762512207
1614041594.57393,1310,-10.196599960327148
1614041622.206264,1314,-9.326416969299316
1614041627.312523,1315,-8.164630889892578
1614041857.706137,1328,-10.276373863220215
1614041988.088282,1354,-10.821405410766602
1614042103.880904,1377,-7.874180316925049
1614042257.066172,1403,-8.637341499328613
1614042310.415243,1413,-10.0
1614042311.730713,1414,-10.0
1614042316.416044,1415,-8.765870094299316
1614042332.037582,1418,-9.013102531433105
1614042343.136119,1420,-4.998168468475342
1614042374.650217,1423,-8.233046531677246
1614042389.65417,1426,-9.39966106414795
1614042773.063052,1459,-10.213033676147461
1614042793.884445,1463,-10.0
1614042882.68352,1471,-4.213841915130615
1614042957.150551,1480,-8.10664176940918
1614042963.606388,1481,-7.981575965881348
1614043128.699276,1491,-10.129307746887207
1614043357.789142,1512,-10.259650230407715
1614043441.947679,1521,-6.996288776397705
1614043517.886311,1531,-11.454805374145508
1614043618.7976,1546,-10.20964241027832
1614043770.778543,1550,-9.11890983581543
1614043929.542373,1576,-10.259960174560547
1614044024.907346,1585,-8.774028778076172
1614044078.448418,1598,-10.0
1614044121.48092,1602,-11.716948509216309
1614044261.154635,1620,-7.930812835693359
1614044293.272469,1623,-8.134119987487793
1614044298.758271,1624,-8.013741493225098
1614044408.935763,1627,-10.284693717956543
1614044426.892049,1629,-8.62140941619873
1614044455.229166,1633,-6.460305213928223
1614044513.650805,1642,-6.477006435394287
1614044526.588073,1644,-8.951728820800781
1614044569.000041,1648,-3.6124796867370605
1614044578.320174,1649,-7.654658317565918
1614044619.549192,1653,-7.549651145935059
1614044646.607751,1658,-9.904431343078613
1614045127.499753,1701,-8.111939430236816
1614045395.984731,1721,-6.385664463043213
1614045788.89488,1740,-0.25098010897636414
1614045815.828718,1743,-8.816997528076172
1614045897.757585,1751,-6.745392322540283
1614045990.715581,1758,-7.037185192108154
1614046390.088758,1783,-8.784332275390625
1614046455.73183,1786,101.68199157714844
1614046625.207207,1800,-5.742673873901367
1614046821.649003,1804,-12.745896339416504
1614047009.654671,1812,-11.179152488708496
1614047055.256291,1815,-8.324907302856445
1614047097.305316,1818,107.97611236572266
1614047120.937655,1821,-7.839413642883301
1614047958.786503,1851,-10.903557777404785
1614047995.289834,1853,105.79130554199219
1614048216.936601,1867,-10.306035995483398
1614048404.403319,1872,108.11787414550781
1614048540.440426,1877,105.92863464355469
1614048786.452541,1888,106.95974731445312
1614049060.993408,1901,110.780029296875
1614049099.745138,1904,-8.452352523803711
1614049524.630705,1921,108.15576171875
1614049992.386306,1938,110.19908905029297
1614050100.184669,1944,-10.288907051086426
1614050212.588353,1951,107.76558685302734
1614050559.991932,1965,108.60648345947266
1614050891.468231,1981,109.9151611328125
1614051000.729927,1987,111.0050277709961
1614051309.36069,1994,101.00264739990234
1614052105.297875,2026,107.85166931152344
1614052801.024773,2042,105.66158294677734
1614053125.048861,2055,97.8485107421875
1614053861.280837,2077,103.03826141357422
1614054033.787387,2083,-9.45236587524414
1614054136.71762,2087,97.2693099975586
1614054218.492442,2091,105.64816284179688
1614054475.261047,2096,-15.054131507873535
1614054820.548056,2110,99.76296997070312
1614054943.330834,2112,109.49685668945312
1614055544.823383,2136,99.91375732421875
1614056307.765921,2167,108.32703399658203
1614056482.077396,2176,109.25761413574219
1614056499.565803,2177,106.951416015625
1614056659.686833,2181,109.22483825683594
1614056842.729578,2191,109.47518157958984
1614056902.092267,2194,108.72100830078125
1614056934.079314,2196,110.29522705078125
1614056953.422943,2197,106.06998443603516
1614057223.383463,2207,107.04156494140625
1614057389.833342,2216,108.29129791259766
1614057525.193875,2223,108.8613052368164
1614057604.357886,2227,110.5324478149414
1614058107.479578,2249,107.11030578613281
1614058540.088532,2269,105.39115142822266
1614058557.85304,2270,106.39968872070312
1614058610.717894,2273,109.61595916748047
1614058628.630246,2274,110.94251251220703
1614058741.019287,2280,109.30325317382812
1614058756.594739,2281,108.91614532470703
1614059062.246676,2292,-3.27942156791687
1614059489.075137,2309,110.27096557617188
1614059581.244331,2313,107.16212463378906
1614059630.401711,2316,108.17029571533203
1614059796.233571,2325,110.83521270751953
1614060708.687563,2362,-6.441626071929932
1614061413.562324,2400,107.23050689697266
1614061860.655931,2418,107.44690704345703
1614061880.32217,2419,107.87146759033203
1614062435.849121,2442,104.38318634033203
1614063012.060028,2468,106.60751342773438
1614063029.037306,2469,109.18438720703125
1614063202.911631,2479,108.30072784423828
1614063797.039952,2508,108.57379913330078
1614063820.32834,2509,104.89337158203125
1614063993.630885,2514,110.64482116699219
1614064199.708251,2526,110.3909683227539
1614064552.325294,2542,109.86744689941406
1614064617.800383,2546,102.84593963623047
1614064666.843551,2549,104.07615661621094
1614064728.639474,2553,108.3780746459961
1614064828.209796,2559,104.28502655029297
1614065273.501551,2581,107.65348815917969
1614065418.561131,2590,107.87406921386719
1614065453.91774,2592,110.73072814941406
1614065491.274523,2595,-9.837985038757324
1614065570.997632,2600,108.57129669189453
1614065773.69769,2607,110.04838562011719
1614065918.933319,2615,105.33806610107422
1614065982.365116,2619,108.58150482177734
1614066104.418466,2627,109.75942993164062
1614066488.970455,2645,109.0963134765625
1614066593.66307,2651,107.50482177734375
1614066799.501041,2664,109.48954772949219
1614066917.149561,2666,109.91165924072266
1614067077.85192,2674,103.66423034667969
1614067334.377933,2689,108.12699890136719
1614067362.051065,2690,109.1727294921875
1614067696.290884,2703,107.85370635986328
1614067851.563213,2712,109.89539337158203
1614067886.585829,2714,107.27328491210938
1614067916.743241,2716,109.01466369628906
1614068085.783848,2721,107.42823028564453
1614068105.579096,2722,107.67991638183594
1614068223.955289,2729,108.23271942138672
1614068254.741578,2731,110.17507934570312
1614068355.251112,2737,111.13511657714844
1614068411.557474,2740,110.1122055053711
1614068490.789534,2745,109.30673217773438
1614068695.501327,2752,108.15823364257812
1614068835.544088,2760,110.68289184570312
1614069319.733942,2778,104.67503356933594
1614069378.974936,2780,111.04750061035156
1614069713.894762,2794,101.21129608154297
1614069845.669805,2796,110.45703125
1614069943.137042,2801,108.67079162597656
1614070024.614625,2806,110.6617660522461
1614070199.799986,2813,106.09902954101562
1614070339.666453,2819,101.80191802978516
1614070806.934218,2839,110.16272735595703
1614071119.077325,2850,110.74230194091797
1614071242.873061,2856,108.823974609375
1614071433.432449,2866,110.84146118164062
1614071540.846712,2872,110.3483657836914
1614071723.555418,2877,107.49993896484375
1614072040.444328,2893,108.48590087890625
1614072288.888402,2901,107.73722076416016
1614072726.681663,2922,109.22423553466797
1614073616.15307,2964,109.67100524902344
1614073676.376542,2968,111.02568054199219
1614073724.513905,2971,-9.367323875427246
1614073758.349214,2973,105.59463500976562
1614073826.897692,2977,110.32271575927734
1614073902.138237,2981,111.38098907470703
1614073933.41078,2983,106.92233276367188
1614074347.881495,3003,109.09415435791016
1614074528.201926,3014,106.85980224609375
1614074992.079867,3033,109.00953674316406
1614075152.205316,3041,108.12220764160156
1614075477.966455,3053,101.52925872802734
1614075513.693863,3055,109.88937377929688
1614075708.007916,3064,107.96387481689453
1614075997.643301,3075,108.4112777709961
1614076050.732668,3078,110.52018737792969
1614076409.348142,3090,108.30631256103516
1614076648.253422,3100,107.99366760253906
1614076686.569639,3102,109.70659637451172
1614076730.001949,3105,111.27012634277344
1614076746.807543,3106,111.5080337524414
1614077287.458085,3130,109.38621520996094
1614077364.301375,3134,110.32636260986328
1614077768.466201,3152,108.91940307617188
1614078211.423846,3173,109.15225219726562
1614078376.487108,3183,109.96598815917969
1614078852.423014,3207,109.93416595458984
1614078871.161962,3208,105.46517181396484
1614080086.503534,3268,107.33737182617188
1614080224.59646,3275,106.28536224365234
1614080264.600462,3277,107.55866241455078
1614080570.869394,3290,110.90352630615234
1614080745.439682,3300,108.14698791503906
1614080762.056606,3301,110.04393005371094
1614080825.116028,3305,108.8238296508789
1614080913.176535,3310,109.41919708251953
1614081144.805259,3319,-10.170011520385742
1614081159.913828,3320,108.07340240478516
1614081175.852885,3321,110.66462707519531
1614081339.172702,3332,108.60336303710938
1614081404.85888,3336,110.81273651123047
1614081516.131589,3343,111.48368835449219
1614081966.394831,3365,110.4514389038086
1614082155.007284,3376,108.00243377685547
1614082279.634449,3378,110.35601043701172
1614082357.871184,3381,108.26507568359375
1614082688.014964,3400,108.41421508789062
1614083007.025233,3413,109.64295959472656
1614083092.950461,3418,110.60836029052734
1614083285.365278,3429,106.18449401855469
1614083456.796048,3433,108.03301239013672
1614083471.889727,3434,107.77661895751953
1614083777.133287,3450,106.35298919677734
1614084052.624645,3460,105.65615844726562
1614084102.993347,3463,109.01570892333984
1614084286.382335,3473,109.00746154785156
1614084745.178289,3493,108.96324920654297
1614084762.11055,3494,106.65571594238281
1614084861.199142,3499,109.1386947631836
1614084996.044476,3505,107.64466857910156
1614085200.774933,3511,108.33134460449219
1614085304.348672,3517,108.21637725830078
1614086073.553562,3555,110.7165298461914
1614086086.439851,3556,107.01206970214844
1614086247.768721,3566,108.33055877685547
1614086429.466346,3571,107.07307434082031
1614086445.051732,3572,110.11297607421875
1614086548.385132,3578,108.01795196533203
1614086852.36272,3597,106.7141342163086
1614086883.927687,3599,109.40447235107422
1614087165.778543,3612,106.32894134521484
1614087273.903376,3619,104.54006958007812
1614087292.054368,3620,110.6931381225586
1614087435.951801,3629,-10.57934856414795
1614087635.697132,3636,107.43634796142578
