Wall time,Step,Value
1614378590.726425,9,-13.313995361328125
1614378698.112339,22,-25.704553604125977
1614378706.367674,25,-10.0
1614378929.00525,57,-10.0
1614378933.153643,58,-13.01933479309082
1614378940.189695,60,-12.2050199508667
1614379136.027418,83,-10.0
1614379137.926198,84,-9.770867347717285
1614379163.42666,91,-14.843360900878906
1614379169.07542,92,-12.185469627380371
1614379254.795776,108,-12.200942993164062
1614379449.479026,143,-9.834280014038086
1614379576.001653,171,-12.252951622009277
1614379599.457153,175,-16.349184036254883
1614379602.420217,176,-10.0
1614379760.171035,189,-15.11158275604248
1614379865.44254,216,-10.0
1614379879.713883,221,-10.0
1614379921.939095,230,-12.201621055603027
1614379959.184409,238,-16.699827194213867
1614380005.580799,248,-10.122196197509766
1614380108.952211,265,-10.0
1614380140.776616,276,-9.81781005859375
1614380212.1382,298,-12.199868202209473
1614380221.774211,301,-9.830713272094727
1614380230.051595,303,-11.112332344055176
1614380338.585029,329,-10.0
1614380345.867803,332,-10.381035804748535
1614380486.819383,342,-10.0
1614380514.83625,349,-9.738418579101562
1614380574.308,361,-11.450556755065918
1614380591.267193,367,-10.0
1614380604.36781,372,-10.100000381469727
1614380617.893937,376,-10.0
1614380715.831587,403,-10.0
1614380744.34565,412,-9.773832321166992
1614380787.126453,426,-7.250256538391113
1614380823.309391,435,-8.160847663879395
1614380892.877746,447,-9.748112678527832
1614380919.933156,456,-11.368260383605957
1614381169.709617,507,-12.735344886779785
1614381196.094361,514,-12.203396797180176
1614381197.484124,515,-10.0
1614381204.601362,518,-10.0
1614381222.155763,524,-10.0
1614381223.87954,525,-10.0
1614381266.130231,540,-9.54601001739502
1614381301.687882,551,-8.75445556640625
1614381304.273275,552,-10.0
1614381306.116568,553,-10.0
1614381309.097689,554,-9.990254402160645
1614381335.881469,564,-10.144623756408691
1614381390.049023,574,-9.780054092407227
1614381407.552847,581,-11.204352378845215
1614381432.952341,589,-10.103533744812012
1614381455.197567,593,-7.384613513946533
1614381479.400287,603,-10.0
1614381521.886326,615,-9.761385917663574
1614381575.475374,629,-11.413963317871094
1614381605.336786,638,-8.025416374206543
1614381653.250541,650,-9.518757820129395
1614381678.745273,661,-10.0
1614381687.358723,664,-12.322851181030273
1614381706.156659,669,-10.156465530395508
1614381868.080816,690,-9.261016845703125
1614381878.666213,692,-9.366507530212402
1614381895.834238,697,-12.653883934020996
1614381912.883513,701,-8.180329322814941
1614381942.027224,708,-6.833784103393555
1614382085.440523,743,-10.0
1614382091.993307,746,-10.0
1614382109.335444,752,-8.319228172302246
1614382141.572323,759,-10.0
1614382154.506441,761,-12.007135391235352
1614382164.304622,763,-8.166683197021484
1614382259.910726,794,-10.0
1614382279.184255,799,-9.951451301574707
1614382285.003077,800,-11.840262413024902
1614382327.136341,815,-9.779111862182617
1614382333.447409,816,-10.270593643188477
1614382343.705351,820,-10.210289001464844
1614382353.469946,822,-10.137819290161133
1614382389.537819,827,-13.128158569335938
1614382538.592212,842,-10.0
1614382570.031411,850,-9.780999183654785
1614382571.26257,851,-10.0
1614382591.128881,856,-10.0
